"Location","Required course covers how to prevent HIV, other STDs, and pregnancy","Required course covers how to access valid and reliable health information, products, and services related to HIV, other STDs, and pregnancy"
"AL","75.8","64.1"
"AK","44.6","41.9"
"AZ","32.3","25.8"
"AR","81.9","74.2"
"CA","76.0","67.2"
"CO",NA,NA
"CT","74.0","59.5"
"DE","72.7","57.6"
"FL","70.5","60.6"
"GA",NA,NA
"HI","90.1","80.6"
"ID","71.7","59.0"
"IL",NA,NA
"IN","92.0","73.0"
"IA","78.3","66.0"
"KS","77.8","58.2"
"KY","77.3","63.0"
"LA",NA,NA
"ME","80.8","68.0"
"MD","78.2","70.6"
"MA","72.9","59.5"
"MI","71.8","57.7"
"MN","79.2","64.8"
"MS","55.0","51.5"
"MO","77.8","64.9"
"MT","74.7","60.5"
"NE","64.6","58.4"
"NV","95.5","82.3"
"NH","77.8","61.2"
"NJ","86.9","77.1"
"NM",NA,NA
"NY","90.4","81.3"
"NC","74.9","61.7"
"ND","72.5","57.2"
"OH","69.9","59.3"
"OK","63.1","54.0"
"OR","82.5","67.6"
"PA","75.3","64.0"
"RI","88.2","75.1"
"SC","87.5","73.7"
"SD","61.8","51.5"
"TN","63.2","53.6"
"TX","76.9","65.4"
"UT","83.0","59.1"
"VT","78.3","65.6"
"VA","85.0","71.6"
"WA","85.6","75.6"
"WV","85.0","76.5"
"WI","84.1","71.2"
"WY","75.5","60.9"
